state,population,code
.Alabama,"4,863,300",AL
.Alaska,"741,894",AK
.Arizona,"6,931,071",AZ
.Arkansas,"2,988,248",AR
.California,"39,250,017",CA
.Colorado,"5,540,545",CO
.Connecticut,"3,576,452",CT
.Delaware,"952,065",DE
.District of Columbia,"681,170",DC
.Florida,"20,612,439",FL
.Georgia,"10,310,371",GA
.Hawaii,"1,428,557",HI
.Idaho,"1,683,140",ID
.Illinois,"12,801,539",IL
.Indiana,"6,633,053",IN
.Iowa,"3,134,693",IA
.Kansas,"2,907,289",KS
.Kentucky,"4,436,974",KY
.Louisiana,"4,681,666",LA
.Maine,"1,331,479",ME
.Maryland,"6,016,447",MD
.Massachusetts,"6,811,779",MA
.Michigan,"9,928,300",MI
.Minnesota,"5,519,952",MN
.Mississippi,"2,988,726",MS
.Missouri,"6,093,000",MO
.Montana,"1,042,520",MT
.Nebraska,"1,907,116",NE
.Nevada,"2,940,058",NV
.New Hampshire,"1,334,795",NH
.New Jersey,"8,944,469",NJ
.New Mexico,"2,081,015",NM
.New York,"19,745,289",NY
.North Carolina,"10,146,788",NC
.North Dakota,"757,952",ND
.Ohio,"11,614,373",OH
.Oklahoma,"3,923,561",OK
.Oregon,"4,093,465",OR
.Pennsylvania,"12,784,227",PA
.Rhode Island,"1,056,426",RI
.South Carolina,"4,961,119",SC
.South Dakota,"865,454",SD
.Tennessee,"6,651,194",TN
.Texas,"27,862,596",TX
.Utah,"3,051,217",UT
.Vermont,"624,594",VT
.Virginia,"8,411,808",VA
.Washington,"7,288,000",WA
.West Virginia,"1,831,102",WV
.Wisconsin,"5,778,708",WI
.Wyoming,"585,501",WY
