Location,Race/Ethnicity/Ancestry,Religion,Sexual orientation,Disability,Gender,Gender Identity,Multiple-bias incidents,Total incidents,,,
Abandoned/condemned structure,2,3,0,0,0,0,0,5,,,
Air/bus/train terminal,60,11,16,2,0,2,3,94,,,
Amusement park,0,0,1,0,0,0,0,1,,,
Arena/stadium/fairgrounds/coliseum,4,1,1,0,0,0,0,6,,, 
ATM separate from bank,1,0,0,0,0,0,0,1,,,
Auto dealership new/used,6,0,0,0,0,0,0,6,,,
Bank/savings and loan,11,6,1,0,1,1,0,20,,,
Bar/nightclub,49,3,43,0,0,0,1,96,,,
Camp/campground,2,0,1,0,0,0,0,3,,,
Church/synagogue/temple/mosque,36,194,8,0,0,0,3,241,,,
Commercial office building,63,29,20,1,0,3,1,117,,,
Community center,5,4,2,0,0,0,0,11,,,
Construction site,12,7,0,0,0,0,0,19,,,
Convenience store,57,16,11,0,1,3,0,88,,,
Cyberspace,3,0,1,0,0,0,0,4,,,
Daycare facility,2,0,0,0,0,0,0,2,,,
Department/discount store,45,11,13,2,0,1,0,72,,,
Dock/wharf/freight/modal terminal,2,1,0,0,0,0,0,3,,,
Drug store/doctor's office/hospital,49,11,2,2,0,0,0,64,,,
Farm facility,0,0,0,0,0,0,0,0,,,
Field/woods,19,7,2,0,0,3,0,31,,,
Gambling facility/casino/race track,3,0,0,0,0,0,0,3,,,
Government/public building,73,24,10,1,2,0,1,111,,,
Grocery/supermarket,46,7,8,0,0,1,0,62,,,
Highway/road/alley/street/sidewalk,718,117,241,7,1,35,9,1128,,,
Hotel/motel/etc.,32,3,8,0,0,1,0,44,,,
Industrial site,10,1,1,0,0,0,0,12,,,
Jail/prison/penitentiary/corrections facility,42,3,13,1,1,0,1,61,,,
Lake/waterway/beach,2,0,4,0,0,0,0,6,,,
Liquor store,12,2,1,0,0,0,0,15,,,
Military installation,0,0,0,0,0,0,0,0,,,
Park/playground,66,13,12,2,1,2,2,98,,,
Parking/drop lot/garage,222,50,68,3,0,5,3,351,,,
Rental storage facility,5,3,0,0,0,1,0,9,,,
Residence/home,1008,249,327,32,11,24,19,1670,,,
Rest area,3,0,1,0,0,0,0,4,,,
Restaurant,92,14,29,3,2,3,0,143,,,
School/college2,67,52,24,0,1,0,2,146,,,
School?college/university,107,61,36,1,0,5,0,210,,,
School?elementary/secondary,155,48,29,6,1,2,7,248,,,
Service/gas station,55,8,6,0,0,3,0,72,,,
Shelter?mission/homeless,10,2,2,0,0,2,0,16,,,
Shopping mall,6,2,0,0,0,0,0,8,,,
"Specialty store (TV, fur, etc.)",28,9,2,0,0,0,0,39,,,
Other/unknown,297,301,132,7,8,27,5,777,,,
Multiple locations,2,0,0,0,1,0,1,4,,,
Total,3489,1273,1076,70,31,124,58,6121,,,
